Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-27 14:33:44,2017-10-27 14:42:02,8m - 17.710s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-10-27 14:33:45,2017-10-27 14:36:22,2m - 37.619s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-10-27 14:33:46,2017-10-27 14:34:19,33.397s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-10-27 14:34:19,2017-10-27 14:34:46,27.001s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-10-27 14:34:46,2017-10-27 14:35:30,43.779s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-10-27 14:35:30,2017-10-27 14:35:49,18.943s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-10-27 14:35:49,2017-10-27 14:36:22,33.579s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-10-27 14:36:23,2017-10-27 14:38:55,2m - 32.677s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-10-27 14:36:23,2017-10-27 14:36:55,32.831s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-10-27 14:36:55,2017-10-27 14:37:22,26.963s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-10-27 14:37:22,2017-10-27 14:38:03,41.005s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-10-27 14:38:03,2017-10-27 14:38:22,18.757s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-10-27 14:38:22,2017-10-27 14:38:55,33.080s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 3,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-10-27 14:38:55,2017-10-27 14:42:01,3m - 5.493s,FAILED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-10-27 14:38:55,2017-10-27 14:39:28,32.890s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-10-27 14:39:28,2017-10-27 14:39:55,26.555s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-10-27 14:39:55,2017-10-27 14:42:01,2m - 6.020s,FAILED
